"journal","discipline","fullTitle"
"Psychopharmacol Bull","Psychopharmacology","Psychopharmacology bulletin"
"Psychopharmacology (Berl)","Psychopharmacology","Psychopharmacology"
"Psychophysiology","Psychophysiology","Psychophysiology"
"Psychosom Med","Medicine","Psychosomatic medicine"
"Psychosomatics","Psychiatry","Psychosomatics"
"Psychother Psychosom","Psychology","Psychotherapy and psychosomatics"
"Psychother Psychosom Med Psychol","Medicine","Psychotherapie, Psychosomatik, medizinische Psychologie"
"Psychother Res","Psychology","Psychotherapy research : journal of the Society for Psychotherapy Research"
"Psychotherapy (Chic)","Psychology","Psychotherapy (Chicago, Ill.)"
"Public Health","Public Health","Public health"
"Public Health Genomics","Public Health","Public health genomics"
"Public Health Nurs","Public Health","Public health nursing"
"Public Health Nurs","Public Health","Public health nursing (Boston, Mass.)"
"Public Health Nutr","Public Health","Public health nutrition"
"Public Health Rep","Public Health","Public health reports"
"Public Health Rep","Public Health","Public health reports (Washington, D.C. : 1974)"
"Public Underst Sci","Multidisciplinary","Public understanding of science (Bristol, England)"
"Pulm Med","Medicine","Pulmonary medicine"
"Pulm Pharmacol Ther","Pharmacology","Pulmonary pharmacology &therapeutics"
"Purinergic Signal","Unclassified","Purinergic signalling"
"Q J Exp Psychol (Hove)","Psychology","Quarterly journal of experimental psychology (2006)"
"Q J Exp Psychol","Psychology","The Quarterly journal of experimental psychology. A, Human experimental psychology"
"Q J Exp Psychol","Psychology","The Quarterly journal of experimental psychology. B, Comparative and physiological psychology"
"Q Rev Biol","Biology","The Quarterly review of biology"
"Q Rev Biophys","Biophysics","Quarterly reviews of biophysics"
"QJM","Medicine","QJM : monthly journal of the Association of Physicians"
"Qld Nurse","Nursing","The Queensland nurse"
"Qual Health Res","Health Services Research","Qualitative health research"
"Qual Life Res","Therapeutics","Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation"
"Qual Manag Health Care","Medicine","Quality management in health care"
"Qual Prim Care","Primary Health Care","Quality in primary care"
"Qual Saf Health Care","Medicine","Quality &safety in health care"
"Quintessence Int","Dentistry","Quintessence international (Berlin, Germany : 1985)"
"R I Med J (2013)","Medicine","Rhode Island medical journal (2013)"
"Radiat Environ Biophys","Biophysics","Radiation and environmental biophysics"
"Radiat Med","Medicine","Radiation medicine"
"Radiat Oncol","Neoplasms","Radiation oncology (London, England)"
"Radiat Prot Dosimetry","Nuclear Medicine","Radiation protection dosimetry"
"Radiat Res","Unclassified","Radiation research"
"Radiographics","Radiology","Radiographics : a review publication of the Radiological Society of North America, Inc"
"Radiol Clin North Am","Radiology","Radiologic clinics of North America"
"Radiol Manage","Radiology","Radiology management"
"Radiol Med","Medicine","La Radiologia medica"
"Radiol Phys Technol","Radiology","Radiological physics and technology"
"Radiol Technol","Radiology","Radiologic technology"
"Radiology","Radiology","Radiology"
"Radiother Oncol","Neoplasms","Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology"
"Rapid Commun Mass Spectrom","Chemistry Techniques, Analytical","Rapid communications in mass spectrometry : RCM"
"Rays","Radiotherapy","Rays"
"RCM Midwives","Midwifery","RCM midwives : the official journal of the Royal College of Midwives"
"Recent Pat Anticancer Drug Discov","Antineoplastic Agents","Recent patents on anti-cancer drug discovery"
"Recent Pat Antiinfect Drug Discov","Anti-Infective Agents","Recent patents on anti-infective drug discovery"
"Recent Pat Biotechnol","Biotechnology","Recent patents on biotechnology"
"Recent Pat Cardiovasc Drug Discov","Cardiology","Recent patents on cardiovascular drug discovery"
"Recent Pat CNS Drug Discov","Pharmacology","Recent patents on CNS drug discovery"
"Recent Pat DNA Gene Seq","Unclassified","Recent patents on DNA &gene sequences"
"Recent Pat Drug Deliv Formul","Pharmacology","Recent patents on drug delivery &formulation"
"Recent Pat Food Nutr Agric","Nutritional Sciences","Recent patents on food, nutrition &agriculture"
"Recent Pat Inflamm Allergy Drug Discov","Allergy and Immunology","Recent patents on inflammation &allergy drug discovery"
"Recent Pat Nanotechnol","Nanotechnology","Recent patents on nanotechnology"
"Recent Results Cancer Res","Neoplasms","Recent results in cancer research. Fortschritte der Krebsforschung. Progrès dans les recherches sur le cancer"
"Recenti Prog Med","Medicine","Recenti progressi in medicina"
"Rech Soins Infirm","Nursing","Recherche en soins infirmiers"
"Redox Biol","Biology","Redox biology"
"Redox Rep","Medicine","Redox report : communications in free radical research"
"Reflect Nurs Leadersh","Nursing","Reflections on nursing leadership / Sigma Theta Tau International, Honor Society of Nursing"
"Reg Anesth Pain Med","Medicine","Regional anesthesia and pain medicine"
"Regen Med","Medicine","Regenerative medicine"
"Regul Pept","Biochemistry","Regulatory peptides"
"Regul Toxicol Pharmacol","Pharmacology","Regulatory toxicology and pharmacology : RTP"
"Rehab Manag","Physical and Rehabilitation Medicine","Rehab management"
"Rehabil Nurs","Nursing","Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses"
"Rehabil Psychol","Psychology","Rehabilitation psychology"
"Rejuvenation Res","Unclassified","Rejuvenation research"
"Ren Fail","Nephrology","Renal failure"
"Rep Prog Phys","Unclassified","Reports on progress in physics. Physical Society (Great Britain)"
"Reprod Biol","Reproductive Medicine","Reproductive biology"
"Reprod Biol Endocrinol","Endocrinology","Reproductive biology and endocrinology : RB&E"
"Reprod Biomed Online","Medicine","Reproductive biomedicine online"
"Reprod Fertil Dev","Reproductive Medicine","Reproduction, fertility, and development"
"Reprod Health","Reproductive Medicine","Reproductive health"
"Reprod Health Matters","Reproductive Medicine","Reproductive health matters"
"Reprod Nutr Dev","Nutritional Sciences","Reproduction, nutrition, development"
"Reprod Nutr Dev","Nutritional Sciences","Reproduction, nutrition, développement"
"Reprod Sci","Reproductive Medicine","Reproductive sciences (Thousand Oaks, Calif.)"
"Reprod Toxicol","Toxicology","Reproductive toxicology (Elmsford, N.Y.)"
"Reproduction","Reproductive Medicine","Reproduction (Cambridge, England)"
"Res Dev Disabil","Psychiatry","Research in developmental disabilities"
"Res Gerontol Nurs","Nursing","Research in gerontological nursing"
"Res Microbiol","Microbiology","Research in microbiology"
"Res Nurs Health","Nursing","Research in nursing &health"
"Res Q Exerc Sport","Sports Medicine","Research quarterly for exercise and sport"
"Res Social Adm Pharm","Pharmacology","Research in social &administrative pharmacy : RSAP"
"Res Sports Med","Medicine","Research in sports medicine (Print)"
"Res Synth Methods","Unclassified","Research synthesis methods"
"Res Theory Nurs Pract","Nursing","Research and theory for nursing practice"
"Res Vet Sci","Veterinary Medicine","Research in veterinary science"
"Respir Care","Pulmonary Medicine","Respiratory care"
"Respir Care Clin N Am","Pulmonary Medicine","Respiratory care clinics of North America"
"Respir Investig","Pulmonary Medicine","Respiratory investigation"
"Respir Med","Medicine","Respiratory medicine"
"Respir Physiol Neurobiol","Physiology","Respiratory physiology &neurobiology"
"Respir Res","Pulmonary Medicine","Respiratory research"
"Respiration","Pulmonary Medicine","Respiration; international review of thoracic diseases"
"Respirology","Pulmonary Medicine","Respirology (Carlton, Vic.)"
"Restor Neurol Neurosci","Neurology","Restorative neurology and neuroscience"
"Results Probl Cell Differ","Cell Biology","Results and problems in cell differentiation"
"Resuscitation","Emergency Medicine","Resuscitation"
"Retin Cases Brief Rep","Ophthalmology","Retinal cases &brief reports"
"Retrovirology","Virology","Retrovirology"
"Reumatizam","Rheumatology","Reumatizam"
"Reumatol Clin","Rheumatology","Reumatología clinica"
"Rev Alerg Mex","Allergy and Immunology","Revista alergia México"
"Rev Alerg Mex","Allergy and Immunology","Revista alergia Mexico (Tecamachalco, Puebla, Mexico : 1993)"
"Rev Argent Microbiol","Microbiology","Revista Argentina de microbiología"
"Rev Assoc Med Bras","Medicine","Revista da Associação Médica Brasileira"
"Rev Assoc Med Bras","Medicine","Revista da Associação Médica Brasileira (1992)"
"Rev Belge Med Dent (1984)","Medicine","Revue belge de médecine dentaire"
"Rev Biol Trop","Tropical Medicine","Revista de biología tropical"
"Rev Bras Anestesiol","Anesthesiology","Revista brasileira de anestesiologia"
"Rev Bras Cir Cardiovasc","Cardiology","Revista brasileira de cirurgia cardiovascular : ́rgão oficial da Sociedade Brasileira de Cirurgia Cardiovascular"
"Rev Bras Enferm","Nursing","Revista brasileira de enfermagem"
"Rev Bras Epidemiol","Epidemiology","Revista brasileira de epidemiologia = Brazilian journal of epidemiology"
"Rev Bras Fisioter","Physical and Rehabilitation Medicine","Revista brasileira de fisioterapia (São Carlos (São Paulo, Brazil))"
"Rev Bras Ginecol Obstet","Obstetrics","Revista brasileira de ginecologia e obstetrícia : revista da Federação Brasileira das Sociedades de Ginecologia e Obstetrícia"
"Rev Bras Parasitol Vet","Unclassified","Revista brasileira de parasitologia veterinária = Brazilian journal of veterinary parasitology : Órgão Oficial do Colégio Brasileiro de Parasitologia Veterinária"
"Rev Bras Psiquiatr","Psychiatry","Revista brasileira de psiquiatria (São Paulo, Brazil : 1999)"
"Rev Bras Reumatol","Rheumatology","Revista brasileira de reumatologia"
"Rev Bras Ter Intensiva","Critical Care","Revista Brasileira de terapia intensiva"
"Rev Cardiovasc Med","Medicine","Reviews in cardiovascular medicine"
"Rev Chil Pediatr","Pediatrics","Revista chilena de pediatría"
"Rev Chilena Infectol","Communicable Diseases","Revista chilena de infectología : órgano oficial de la Sociedad Chilena de Infectología"
"Rev Col Bras Cir","General Surgery","Revista do Colégio Brasileiro de Cirurgiões"
"Rev Colomb Psiquiatr","Psychiatry","Revista colombiana de psiquiatría"
"Rev Cubana Med Trop","Medicine","Revista cubana de medicina tropical"
"Rev Derecho Genoma Hum","Computational Biology","Revista de derecho y genoma humano = Law and the human genome review / Cátedra de Derecho y Genoma Humano/Fundación BBV-Diputación Foral de Bizkaia"
"Rev Diabet Stud","Endocrinology","The review of diabetic studies : RDS"
"Rev Endocr Metab Disord","Endocrinology","Reviews in endocrine &metabolic disorders"
"Rev Enferm","Nursing","Revista de enfermería (Barcelona, Spain)"
"Rev Environ Contam Toxicol","Toxicology","Reviews of environmental contamination and toxicology"
"Rev Environ Health","Environmental Health","Reviews on environmental health"
"Rev Esc Enferm USP","Nursing","Revista da Escola de Enfermagem da U S "
"Rev Esp Cardiol","Cardiology","Revista española de cardiología"
"Rev Esp Cardiol (Engl Ed)","Cardiology","Revista española de cardiología (English ed.)"
"Rev Esp Enferm Dig","Gastroenterology","Revista española de enfermedades digestivas : organo oficial de la Sociedad Española de Patología Digestiva"
"Rev Esp Geriatr Gerontol","Geriatrics","Revista española de geriatría y gerontología"
"Rev Esp Quimioter","Drug Therapy","Revista española de quimioterapia : publicación oficial de la Sociedad Española de Quimioterapia"
"Rev Esp Salud Publica","Public Health","Revista española de salud pública"
"Rev Fac Cien Med Univ Nac Cordoba","Medicine","Revista de la Facultad de Ciencias Médicas (Córdoba, Argentina)"
"Rev Fac Cien Med Univ Nac Cordoba","Medicine","Revista de la Facultad de Ciencias Médicas de la Universidad Nac. de Córdoba"
"Rev Gastroenterol Disord","Gastroenterology","Reviews in gastroenterological disorders"
"Rev Gastroenterol Mex","Gastroenterology","Revista de gastroenterología de México"
"Rev Gastroenterol Peru","Gastroenterology","Revista de gastroenterología del Perú : órgano oficial de la Sociedad de Gastroenterología del Perú"
"Rev Gaucha Enferm","Nursing","Revista gaúcha de enfermagem / EENFUFRGS"
"Rev Hist Pharm (Paris)","Pharmacology","Revue d'histoire de la pharmacie"
"Rev Hosp Clin Fac Med Sao Paulo","Medicine","Revista do Hospital das Clínicas"
"Rev Iberoam Micol","Microbiology","Revista iberoamericana de micología"
"Rev Infirm","Nursing","Revue de l'infirmière"
"Rev Inst Med Trop Sao Paulo","Medicine","Revista do Instituto de Medicina Tropical de São Paulo"
"Rev Invest Clin","Medicine","Revista de investigación clínica; organo del Hospital de Enfermedades de la Nutrición"
"Rev Lat Am Enfermagem","Nursing","Revista latino-americana de enfermagem"
"Rev Med Chil","Medicine","Revista médica de Chile"
"Rev Med Chir Soc Med Nat Iasi","Medicine","Revista medico-chirurgicală̆ a Societă̆ţ̜ii de Medici ş̧i Naturaliş̧ti din Iaş̧i"
"Rev Med Inst Mex Seguro Soc","Medicine","Revista médica del Instituto Mexicano del Seguro Social"
"Rev Med Suisse","Medicine","Revue médicale suisse"
"Rev Med Suisse Romande","Medicine","Revue médicale de la Suisse romande"
"Rev Med Virol","Medicine","Reviews in medical virology"
"Rev Neurol","Neurology","Revista de neurologia"
"Rev Neurol Dis","Neurology","Reviews in neurological diseases"
"Rev Neurosci","Neurology","Reviews in the neurosciences"
"Rev Panam Salud Publica","Public Health","Revista panamericana de salud pública = Pan American journal of public health"
"Rev Paul Pediatr","Pediatrics","Revista paulista de pediatria : orgão oficial da Sociedade de Pediatria de São Paulo"
"Rev Peru Med Exp Salud Publica","Medicine","Revista peruana de medicina experimental y salud pública"
"Rev Port Cardiol","Cardiology","Revista portuguesa de cardiologia : orgão oficial da Sociedade Portuguesa de Cardiologia = Portuguese journal of cardiology : an official journal of the Portuguese Society of Cardiology"
"Rev Port Cir Cardiotorac Vasc","Cardiology","Revista portuguesa de cirurgia cardio-torácica e vascular : órgão oficial da Sociedade Portuguesa de Cirurgia Cardio-Torácica e Vascular"
"Rev Port Pneumol","Pulmonary Medicine","Revista portuguesa de pneumologia"
"Rev Prat","Medicine","La Revue du praticien"
"Rev Psiquiatr Salud Ment","Psychology","Revista de psiquiatrí́a y salud mental"
"Rev Recent Clin Trials","Medicine","Reviews on recent clinical trials"
"Rev Salud Publica (Bogota)","Public Health","Revista de salud pública (Bogotá, Colombia)"
"Rev Saude Publica","Public Health","Revista de saúde pública"
"Rev Sci Instrum","Biomedical Engineering","The Review of scientific instruments"
"Rev Soc Bras Med Trop","Medicine","Revista da Sociedade Brasileira de Medicina Tropical"
"Rev Soc Fr Hist Hop","Unclassified","Revue de la Société française d'histoire des hôpitaux"
"Rev Synth","History of Medicine","Revue de synthèse / Centre international de synthèse"
"Revenue-cycle Strateg","Hospitals","Revenue-cycle strategist"
"Revolution","Nursing","Revolution (Oakland, Calif.)"
"Revolution","Nursing","Revolution (Staten Island, N.Y.)"
"Rheum Dis Clin North Am","Rheumatology","Rheumatic diseases clinics of North America"
"Rheumatol Int","Rheumatology","Rheumatology international"
"Rheumatology (Oxford)","Rheumatology","Rheumatology (Oxford, England)"
"Rhinology","Otolaryngology","Rhinology"
"Rinsho Byori","Pathology","Rinsho byori. The Japanese journal of clinical pathology"
"Rinsho Ketsueki","Hematology","[Rinshō ketsueki] The Japanese journal of clinical hematology"
"Rinsho Shinkeigaku","Neurology","Rinshō shinkeigaku = Clinical neurology"
"Risk Anal","Statistics as Topic","Risk analysis : an official publication of the Society for Risk Analysis"
"Riv Biol","Biology","Rivista di biologia"
"Riv Psichiatr","Psychiatry","Rivista di psichiatria"
"RN","Nursing","RN"
"RNA","Molecular Biology","RNA (New York, N.Y.)"
"RNA Biol","Molecular Biology","RNA biology"
"Rocz Panstw Zakl Hig","Public Health","Roczniki Państwowego Zakładu Higieny"
"Rofo","Diagnostic Imaging","RöFo : Fortschritte auf dem Gebiete der Röntgenstrahlen und der Nuklearmedizin"
"Rom J Gastroenterol","Gastroenterology","Romanian journal of gastroenterology"
"Rom J Intern Med","Medicine","Romanian journal of internal medicine = Revue roumaine de médecine interne"
"Rom J Morphol Embryol","Cell Biology","Romanian journal of morphology and embryology = Revue roumaine de morphologie et embryologie"
"Roum Arch Microbiol Immunol","Immunology","Roumanian archives of microbiology and immunology"
"Rural Remote Health","Medicine","Rural and remote health"
"Ryoikibetsu Shokogun Shirizu","Medicine","Ryōikibetsu shōkōgun shirīzu"
"S Afr J Surg","General Surgery","South African journal of surgery. Suid-Afrikaanse tydskrif vir chirurgie"
"S C Nurse","Nursing","South Carolina nurse (Columbia, S.C. : 1994)"
"S C Nurse","Nursing","The South Carolina nurse / South Carolina Nurses' Association"
"S D J Med","Medicine","South Dakota journal of medicine"
"S D Med","Medicine","South Dakota medicine : the journal of the South Dakota State Medical Association"
"SAAD Dig","Dentistry","SAAD digest"
"SAHARA","Unclassified","SAHARA J : journal of Social Aspects of HIV/AIDS Research Alliance / SAHARA , Human Sciences Research Council"
"Salud Colect","Public Health","Salud colectiva"
"Salud Publica Mex","Public Health","Salud pública de México"
"Sangyo Eiseigaku Zasshi","Occupational Medicine","Sangyō eiseigaku zasshi = Journal of occupational health"
"Sante","Public Health","Santé (Montrouge, France)"
"Sante Ment Que","Psychology","Santé mentale au Québec"
"Sante Publique","Public Health","Santé publique (Vandoeuvre-lès-Nancy, France)"
"Sao Paulo Med","Medicine","São Paulo medical journal = Revista paulista de medicina"
"Sarcoidosis Vasc Diffuse Lung Dis","Medicine","Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG / World Association of Sarcoidosis and Other Granulomatous Disorders"
"Saudi J Gastroenterol","Gastroenterology","Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association"
"Saudi J Kidney Dis Transpl","Transplantation","Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia"
"Saudi Med","Medicine","Saudi medical journal"
"Scand J Caring Sci","Nursing","Scandinavian journal of caring sciences"
"Scand J Clin Lab Invest","Clinical Laboratory Techniques","Scandinavian journal of clinical and laboratory investigation"
"Scand J Gastroenterol","Gastroenterology","Scandinavian journal of gastroenterology"
"Scand J Infect Dis","Communicable Diseases","Scandinavian journal of infectious diseases"
"Scand J Med Sci Sports","Medicine","Scandinavian journal of medicine &science in sports"
"Scand J Occup Ther","Physical and Rehabilitation Medicine","Scandinavian journal of occupational therapy"
"Scand J Plast Reconstr Surg Hand Surg","General Surgery","Scandinavian journal of plastic and reconstructive surgery and hand surgery / Nordisk plastikkirurgisk forening [and] Nordisk klubb for handkirurgi"
"Scand J Prim Health Care","Primary Health Care","Scandinavian journal of primary health care"
"Scand J Psychol","Psychology","Scandinavian journal of psychology"
"Scand J Public Health","Public Health","Scandinavian journal of public health"
"Scand J Trauma Resusc Emerg Med","Traumatology","Scandinavian journal of trauma, resuscitation and emergency medicine"
"Scand J Urol","Urology","Scandinavian journal of urology"
"Scand J Urol Nephrol","Urology","Scandinavian journal of urology and nephrology"
"Scand J Work Environ Health","Environmental Health","Scandinavian journal of work, environment &health"
"Scanning","Cell Biology","Scanning"
"Sch Psychol","Psychology","School psychology quarterly : the official journal of the Division of School Psychology, American Psychological Association"
"Schizophr Bull","Psychiatry","Schizophrenia bulletin"
"Schizophr Res","Psychiatry","Schizophrenia research"
"School Nurse News","Nursing","School nurse news"
"Schweiz Arch Tierheilkd","Veterinary Medicine","Schweizer Archiv für Tierheilkunde"
"Schweiz Monatsschr Zahnmed","Dentistry","Schweizer Monatsschrift für Zahnmedizin = Revue mensuelle suisse d'odonto-stomatologie = Rivista mensile svizzera di odontologia e stomatologia / SSO"
"Sci Aging Knowledge Environ","Multidisciplinary","Science of aging knowledge environment : SAGE KE"
"Sci Am","Multidisciplinary","Scientific American"
"Sci China C Life Sci","Unclassified","Science in China. Series C, Life sciences / Chinese Academy of Sciences"
"Sci China Life Sci","Unclassified","Science China. Life sciences"
"Sci Context","Multidisciplinary","Science in context"
"Sci Data","Multidisciplinary","Scientific data"
"Sci Eng Ethics","Ethics","Science and engineering ethics"
"Sci Justice","Jurisprudence","Science &justice : journal of the Forensic Science Society"
"SCI Nurs","Nursing","SCI nursing : a publication of the American Association of Spinal Cord Injury Nurses"
"Sci Pharm","Pharmacology","Scientia pharmaceutica"
"Sci Prog","Multidisciplinary","Science progress"
"Sci Rep","Multidisciplinary","Scientific reports"
"Sci Signal","Cell Biology","Science signaling"
"Sci STKE","Unclassified","Science's STKE : signal transduction knowledge environment"
"Sci Total Environ","Environmental Health","The Science of the total environment"
"Sci Transl Med","Medicine","Science translational medicine"
"Science","Multidisciplinary","Science (New York, N.Y.)"
"ScientificWorldJournal","Multidisciplinary","TheScientificWorldJournal"
"Scott Med","Medicine","Scottish medical journal"
"Se Pu","Chemistry Techniques, Analytical","Se pu = Chinese journal of chromatography / Zhongguo hua xue hui"
"Seikagaku","Biochemistry","Seikagaku. The Journal of Japanese Biochemical Society"
"Seishin Shinkeigaku Zasshi","Unclassified","Seishin shinkeigaku zasshi = Psychiatria et neurologia Japonica"
"Seizure","Neurology","Seizure"
"Semin Arthritis Rheum","Rheumatology","Seminars in arthritis and rheumatism"
"Semin Cancer Biol","Neoplasms","Seminars in cancer biology"
"Semin Cardiothorac Vasc Anesth","Anesthesiology","Seminars in cardiothoracic and vascular anesthesia"
"Semin Cell Dev Biol","Cell Biology","Seminars in cell &developmental biology"
"Semin Cutan Med Surg","Medicine","Seminars in cutaneous medicine and surgery"
"Semin Diagn Pathol","Pathology","Seminars in diagnostic pathology"
"Semin Dial","Nephrology","Seminars in dialysis"
"Semin Fetal Neonatal Med","Medicine","Seminars in fetal &neonatal medicine"
"Semin Hematol","Hematology","Seminars in hematology"
"Semin Immunol","Immunology","Seminars in immunology"
"Semin Immunopathol","Allergy and Immunology","Seminars in immunopathology"
"Semin Liver Dis","Gastroenterology","Seminars in liver disease"
"Semin Musculoskelet Radiol","Radiology","Seminars in musculoskeletal radiology"
"Semin Neonatol","Obstetrics","Seminars in neonatology : SN"
"Semin Nephrol","Nephrology","Seminars in nephrology"
"Semin Neurol","Neurology","Seminars in neurology"
"Semin Nucl Med","Medicine","Seminars in nuclear medicine"
"Semin Oncol","Neoplasms","Seminars in oncology"
"Semin Oncol Nurs","Neoplasms","Seminars in oncology nursing"
"Semin Ophthalmol","Ophthalmology","Seminars in ophthalmology"
"Semin Pediatr Infect Dis","Pediatrics","Seminars in pediatric infectious diseases"
"Semin Pediatr Neurol","Pediatrics","Seminars in pediatric neurology"
"Semin Pediatr Surg","Pediatrics","Seminars in pediatric surgery"
"Semin Perinatol","Perinatology","Seminars in perinatology"
"Semin Radiat Oncol","Neoplasms","Seminars in radiation oncology"
"Semin Reprod Med","Medicine","Seminars in reproductive medicine"
"Semin Respir Crit Care Med","Medicine","Seminars in respiratory and critical care medicine"
"Semin Roentgenol","Radiology","Seminars in roentgenology"
"Semin Speech Lang","Speech-Language Pathology","Seminars in speech and language"
"Semin Thorac Cardiovasc Surg","General Surgery","Seminars in thoracic and cardiovascular surgery"
"Semin Thorac Cardiovasc Surg Pediatr Card Surg Annu","Pediatrics","Seminars in thoracic and cardiovascular surgery. Pediatric cardiac surgery annual"
"Semin Thromb Hemost","Hematology","Seminars in thrombosis and hemostasis"
"Semin Ultrasound CT MR","Diagnostic Imaging","Seminars in ultrasound, CT, and MR"
"Semin Vasc Med","Medicine","Seminars in vascular medicine"
"Semin Vasc Surg","General Surgery","Seminars in vascular surgery"
"Sensors (Basel)","Biomedical Engineering","Sensors (Basel, Switzerland)"
"Servir","Nursing","Servir (Lisbon, Portugal)"
"Sex Abuse","Psychiatry","Sexual abuse : a journal of research and treatment"
"Sex Health","Sexually Transmitted Diseases","Sexual health"
"Sex Reprod Healthc","Medicine","Sexual &reproductive healthcare : official journal of the Swedish Association of Midwives"
"Sex Transm Dis","Sexually Transmitted Diseases","Sexually transmitted diseases"
"Sex Transm Infect","Sexually Transmitted Diseases","Sexually transmitted infections"
"Shanghai Kou Qiang Yi Xue","Dentistry","Shanghai kou qiang yi xue = Shanghai journal of stomatology"
"Sheng Li Ke Xue Jin Zhan","Physiology","Sheng li ke xue jin zhan [Progress in physiology]"
"Sheng Li Xue Bao","Physiology","Sheng li xue bao : [Acta physiologica Sinica]"
"Sheng Wu Gong Cheng Xue Bao","Biotechnology","Sheng wu gong cheng xue bao = Chinese journal of biotechnology"
"Sheng Wu Yi Xue Gong Cheng Xue Za Zhi","Biomedical Engineering","Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi"
"Shi Yan Sheng Wu Xue Bao","Biology","Shi yan sheng wu xue bao"
"Shinrigaku Kenkyu","Psychology","Shinrigaku kenkyu : The Japanese journal of psychology"
"Shock","Medicine","Shock (Augusta, Ga.)"
"Shokuhin Eiseigaku Zasshi","Public Health","Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan"
"Sichuan Da Xue Xue Bao Yi Xue Ban","Medicine","Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition"
"Simul Healthc","Health Services Research","Simulation in healthcare : journal of the Society for Simulation in Healthcare"
"Singapore Med","Medicine","Singapore medical journal"
"Skeletal Radiol","Radiology","Skeletal radiology"
"Skin Pharmacol Physiol","Physiology","Skin pharmacology and physiology"
"Skin Res Technol","Dermatology","Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)"
"Skinmed","Dermatology","Skinmed"
"Sleep","Psychophysiology","Sleep"
"Sleep Breath","Unclassified","Sleep &breathing = Schlaf &Atmung"
"Sleep Med","Medicine","Sleep medicine"
"Sleep Med Rev","Medicine","Sleep medicine reviews"
"Small","Biomedical Engineering","Small (Weinheim an der Bergstrasse, Germany)"
"Small GTPases","Biomedical Engineering","Small GTPases"
"Soc Cogn Affect Neurosci","Neurology","Social cognitive and affective neuroscience"
"Soc Neurosci","Neurology","Social neuroscience"
"Soc Psychiatry Psychiatr Epidemiol","Psychiatry","Social psychiatry and psychiatric epidemiology"
"Soc Sci Med","Social Sciences","Social science &medicine"
"Soc Sci Med","Social Sciences","Social science &medicine (1982)"
"Soc Sci Res","Behavioral Sciences","Social science research"
"Soc Secur Bull","Health Services Research","Social security bulletin"
"Soc Stud Sci","Multidisciplinary","Social studies of science"
"Soc Work","Social Sciences","Social work"
"Soc Work Health Care","Medicine","Social work in health care"
"Soc Work Public Health","Public Health","Social work in public health"
"Sociol Health Illn","Social Sciences","Sociology of health &illness"
"Soft Matter","Chemistry","Soft matter"
"Soins","Nursing","Soins; la revue de référence infirmière"
"Soins Gerontol","Geriatrics","Soins. Gérontologie"
"Soins Pediatr Pueric","Pediatrics","Soins. Pédiatrie, puériculture"
"Soins Psychiatr","Psychiatry","Soins. Psychiatrie"
"Solid State Nucl Magn Reson","Nuclear Medicine","Solid state nuclear magnetic resonance"
"Somatosens Mot Res","Unclassified","Somatosensory &motor research"
"Southeast Asian J Trop Med Public Health","Public Health","The Southeast Asian journal of tropical medicine and public health"
"Sov Med","Medicine","Sovetskaia meditsina"
"Sov Zdravookhr","Public Health","Sovetskoe zdravookhranenie / Ministerstvo zdravookhranenii︠a︡ SSSR"
"Soz Praventivmed","Medicine","Sozial- und Präventivmedizin"
"Space Med Med Eng (Beijing)","Medicine","Hang tian yi xue yu yi xue gong cheng = Space medicine &medical engineering"
"Span J Psychol","Psychology","The Spanish journal of psychology"
"Spat Spatiotemporal Epidemiol","Epidemiology","Spatial and spatio-temporal epidemiology"
"Spat Vis","Ophthalmology","Spatial vision"
"Spec Care Dentist","Dentistry","Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry"
"Spectrochim Acta A Mol Biomol Spectrosc","Molecular Biology","Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy"
"Spine","Orthopedics","The spine journal : official journal of the North American Spine Society"
"Sports Biomech","Unclassified","Sports biomechanics / International Society of Biomechanics in Sports"
"Sports Health","Sports Medicine","Sports health"
"Sports Med","Medicine","Sports medicine (Auckland, N.Z.)"
"Sports Med Arthrosc","Medicine","Sports medicine and arthroscopy review"
"Springer Semin Immunopathol","Allergy and Immunology","Springer seminars in immunopathology"
"Srp Arh Celok Lek","Medicine","Srpski arhiv za celokupno lekarstvo"
"Stapp Car Crash","Traumatology","Stapp car crash journal"
"Stat Appl Genet Mol Biol","Genetics","Statistical applications in genetics and molecular biology"
"Stat Med","Medicine","Statistics in medicine"
"Stat Methods Med Res","Medicine","Statistical methods in medical research"
"State Legis","Jurisprudence","State legislatures"
